date,customerId,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-11,187664577,CUS18766457760,60,33214,USD,WEB PAGE,0.395
2022-09-11,277096040,CUS27709604012,12,3000,USD,WEB PAGE,0.4
2022-09-11,811401913,CUS81140191348,48,31646.06,USD,WEB PAGE,0.4
2022-09-11,166198803,CUS16619880324,24,80000,USD,WEB PAGE,0.25
2022-09-11,549292286,CUS54929228624,24,63900,USD,AGENCY,0.285
2022-09-11,732635848,CUS73263584824,24,37000,USD,AGENCY,0.185
2022-09-11,902325508,CUS90232550836,36,5826,USD,WEB PAGE,0.219
2022-09-11,606746968,CUS60674696848,48,33700,USD,WEB PAGE,0.35
2022-09-11,189815687,CUS18981568736,36,20000,USD,AGENCY,0.22
2022-09-11,879519924,CUS87951992448,48,8200,USD,WEB PAGE,0.235
2022-09-11,217724587,CUS21772458760,60,26800,USD,WEB PAGE,0.395
2022-09-11,259338669,CUS25933866924,24,150000,USD,AGENCY,0.35
2022-09-11,637857746,CUS63785774624,24,100000,USD,WEB PAGE,0.35
2022-09-11,282402534,CUS28240253436,36,60000,USD,WEB PAGE,0.32
2022-09-11,878134499,CUS87813449924,24,29400,USD,WEB PAGE,0.39
2022-09-11,603970165,CUS60397016524,24,17400,USD,AGENCY,0.27
2022-09-11,872112228,CUS87211222824,24,20000,USD,WEB PAGE,0.155
2022-09-11,826110823,CUS82611082336,36,23600,USD,WEB PAGE,0.189
2022-09-11,703967939,CUS70396793924,24,3000,USD,WEB PAGE,0.22
2022-09-11,525206735,CUS52520673536,36,20000,USD,WEB PAGE,0.159
2022-09-11,485907326,CUS48590732624,24,7000,USD,WEB PAGE,0.385
2022-09-11,352016971,CUS35201697124,24,4000,USD,WEB PAGE,0.35
2022-09-11,573483681,CUS57348368160,60,15400,USD,WEB PAGE,0.265
2022-09-11,445497826,CUS44549782636,36,22850,USD,WEB PAGE,0.11
2022-09-11,907031354,CUS90703135448,48,35750,USD,WEB PAGE,0.199
2022-09-11,526005224,CUS52600522436,36,22600,USD,CONTACT CENTER,0.185
2022-09-11,698203753,CUS69820375336,36,50000,USD,AGENCY,0.225
2022-09-11,420895916,CUS42089591624,24,22500,USD,AGENCY,0.39
2022-09-11,716653124,CUS71665312424,24,12610,USD,AGENCY,0.395
2022-09-11,974082364,CUS97408236436,36,16000,USD,WEB PAGE,0.395
2022-09-11,442901053,CUS44290105336,36,135000,USD,AGENCY,0.179
2022-09-11,313640584,CUS31364058436,36,36900,USD,WEB PAGE,0.215
2022-09-11,892932876,CUS89293287660,60,40000,USD,WEB PAGE,0.22
2022-09-11,601534333,CUS60153433324,24,20073,USD,AGENCY,0.23
2022-09-11,304334616,CUS30433461624,24,20000,USD,WEB PAGE,0.1
2022-09-11,681891720,CUS68189172036,36,15000,USD,WEB PAGE,0.295
2022-09-11,804280441,CUS80428044160,60,11000,USD,WEB PAGE,0.39
2022-09-11,993190963,CUS99319096336,36,100000,USD,WEB PAGE,0.26
2022-09-11,590566060,CUS59056606012,12,16000,USD,WEB PAGE,0.2
2022-09-11,367887265,CUS36788726524,24,20000,USD,WEB PAGE,0.275
2022-09-11,320537171,CUS32053717160,60,40000,USD,WEB PAGE,0.37
2022-09-11,321821780,CUS32182178024,24,66700,USD,WEB PAGE,0.179
2022-09-11,374447253,CUS37444725348,48,100000,USD,AGENCY,0.169
2022-09-11,414658614,CUS41465861460,60,110000,USD,AGENCY,0.24
2022-09-11,646210968,CUS64621096848,48,17400,USD,WEB PAGE,0.39
2022-09-11,290488414,CUS29048841412,12,10000,USD,WEB PAGE,0.375
2022-09-11,965364361,CUS96536436148,48,51900,USD,WEB PAGE,0.22
2022-09-11,237444619,CUS23744461936,36,17400,USD,WEB PAGE,0.235
2022-09-11,449094031,CUS44909403124,24,25000,USD,WEB PAGE,0.285
2022-09-11,717259569,CUS71725956948,48,65000,USD,AGENCY,0.385
2022-09-11,660576176,CUS66057617636,36,19272.08,USD,WEB PAGE,0.4
2022-09-11,677686824,CUS67768682436,36,29600,USD,WEB PAGE,0.165
2022-09-11,788146674,CUS78814667436,36,28100,USD,WEB PAGE,0.23
2022-09-11,919308918,CUS91930891848,48,20000,USD,AGENCY,0.23
2022-09-11,411534038,CUS41153403824,24,1500,USD,WEB PAGE,0.295
2022-09-11,542071282,CUS54207128260,60,41000,USD,WEB PAGE,0.35
2022-09-11,316785760,CUS31678576060,60,35000,USD,WEB PAGE,0.385
2022-09-11,774608448,CUS77460844860,60,42000,USD,WEB PAGE,0.135
2022-09-11,208464577,CUS20846457760,60,12800,USD,WEB PAGE,0.205
2022-09-11,954035682,CUS95403568224,24,10000,USD,WEB PAGE,0.375
2022-09-11,231473821,CUS23147382112,12,17700,USD,AGENCY,0.4
2022-09-11,431740160,CUS43174016036,36,17700,USD,WEB PAGE,0.29
2022-09-11,630316071,CUS63031607124,24,6310,USD,WEB PAGE,0.169
2022-09-11,261371174,CUS26137117460,60,47321,USD,WEB PAGE,0.169
2022-09-11,991980696,CUS99198069648,48,36890,USD,WEB PAGE,0.129
2022-09-11,803447657,CUS80344765736,36,18400,USD,WEB PAGE,0.165
2022-09-11,358231204,CUS35823120424,24,62000,USD,AGENCY,0.29
2022-09-11,227653374,CUS22765337412,12,3000,USD,WEB PAGE,0.305
2022-09-11,768788381,CUS76878838136,36,7400,USD,WEB PAGE,0.345
2022-09-11,758184295,CUS75818429548,48,11000,USD,WEB PAGE,0.35
2022-09-11,822060285,CUS82206028536,36,25000,USD,WEB PAGE,0.195
2022-09-11,192837400,CUS19283740036,36,20000,USD,AGENCY,0.2
2022-09-11,574155931,CUS57415593148,48,2000,USD,WEB PAGE,0.27
2022-09-11,452754104,CUS45275410460,60,28700,USD,AGENCY,0.225
2022-09-11,465192545,CUS46519254524,24,22800,USD,WEB PAGE,0.2
2022-09-11,461165886,CUS46116588624,24,61700,USD,WEB PAGE,0.385
2022-09-11,216286817,CUS21628681760,60,25979,USD,WEB PAGE,0.155
2022-09-11,655784074,CUS65578407460,60,41600,USD,WEB PAGE,0.26
2022-09-11,813041846,CUS81304184660,60,18877.09,USD,WEB PAGE,0.165
2022-09-11,563089068,CUS56308906824,24,5700,USD,WEB PAGE,0.365
2022-09-11,325743822,CUS32574382248,48,12200,USD,WEB PAGE,0.155
2022-09-11,924399092,CUS92439909236,36,18200,USD,WEB PAGE,0.165
2022-09-11,823468426,CUS82346842624,24,103785,USD,WEB PAGE,0.175
