date,customerId,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-10,505952317,CUS50595231748,48,26900,USD,WEB PAGE,0.335
2022-09-10,410959498,CUS41095949824,24,6000,USD,AGENCY,0.4
2022-09-10,772892207,CUS77289220724,24,67000,USD,AGENCY,0.395
2022-09-10,556977039,CUS55697703960,60,8500,USD,WEB PAGE,0.395
2022-09-10,913827809,CUS91382780948,48,9589.94,USD,WEB PAGE,0.395
2022-09-10,369472181,CUS36947218124,24,24261,USD,WEB PAGE,0.395
2022-09-10,159648824,CUS15964882412,12,8000,USD,AGENCY,0.85
2022-09-10,267687990,CUS26768799060,60,31900,USD,WEB PAGE,0.395
2022-09-10,414828284,CUS41482828460,60,7600,USD,WEB PAGE,0.395
2022-09-10,866447136,CUS86644713624,24,8424,USD,WEB PAGE,0.275
2022-09-10,185538850,CUS18553885024,24,85000,USD,AGENCY,0.375
2022-09-10,993039853,CUS99303985336,36,10000,USD,WEB PAGE,0.375
2022-09-10,425519691,CUS42551969148,48,55100,USD,WEB PAGE,0.35
2022-09-10,557610563,CUS55761056324,24,63900,USD,AGENCY,0.395
2022-09-10,113416856,CUS11341685648,48,43000,USD,WEB PAGE,0.35
2022-09-10,554297228,CUS55429722860,60,19500,USD,WEB PAGE,0.35
2022-09-10,430293396,CUS43029339648,48,33700,USD,WEB PAGE,0.35
2022-09-10,969662872,CUS96966287260,60,65000,USD,WEB PAGE,0.395
2022-09-10,543833973,CUS54383397336,36,17000,USD,AGENCY,0.235
2022-09-10,613638803,CUS61363880324,24,1000,USD,WEB PAGE,0.299
2022-09-10,240865807,CUS24086580724,24,50000,USD,AGENCY,0.35
2022-09-10,975435666,CUS97543566636,36,18900,USD,WEB PAGE,0.275
2022-09-10,788412509,CUS78841250924,24,90600,USD,WEB PAGE,0.36
2022-09-10,359849206,CUS35984920648,48,76000,USD,WEB PAGE,0.37
2022-09-10,148482618,CUS14848261836,36,11000,USD,WEB PAGE,0.349
2022-09-10,422834141,CUS42283414136,36,9300,USD,WEB PAGE,0.245
2022-09-10,476467530,CUS47646753012,12,277.73,USD,AGENCY,0.85
2022-09-10,121450416,CUS12145041636,36,12000,USD,WEB PAGE,0.245
2022-09-10,702148604,CUS70214860460,60,40000,USD,AGENCY,0.395
2022-09-10,852018007,CUS85201800724,24,14800,USD,AGENCY,0.169
2022-09-10,320532312,CUS32053231236,36,14800,USD,WEB PAGE,0.169
2022-09-10,809218648,CUS80921864824,24,30000,USD,WEB PAGE,0.35
2022-09-10,750530829,CUS75053082948,48,45322,USD,WEB PAGE,0.169
2022-09-10,530431863,CUS53043186360,60,19000,USD,WEB PAGE,0.26
2022-09-10,743560238,CUS74356023848,48,60000,USD,WEB PAGE,0.395
2022-09-10,892411888,CUS89241188824,24,25000,USD,WEB PAGE,0.189
2022-09-10,651987972,CUS65198797236,36,20000,USD,WEB PAGE,0.395
2022-09-10,621154251,CUS62115425112,12,7600,USD,WEB PAGE,0.255
2022-09-10,134742211,CUS13474221124,24,5000,USD,WEB PAGE,0.3
2022-09-10,849216941,CUS84921694112,12,20000,USD,WEB PAGE,0.245
2022-09-10,719283308,CUS71928330836,36,40000,USD,WEB PAGE,0.365
2022-09-10,399464935,CUS39946493560,60,34800,USD,WEB PAGE,0.39
2022-09-10,330862392,CUS33086239236,36,12000,USD,WEB PAGE,0.175
2022-09-10,128219494,CUS12821949448,48,5000,USD,WEB PAGE,0.285
2022-09-10,179389562,CUS17938956248,48,45100,USD,AGENCY,0.35
2022-09-10,933779407,CUS93377940736,36,23800,USD,WEB PAGE,0.11
2022-09-10,534702561,CUS53470256148,48,12800,USD,WEB PAGE,0.4
2022-09-10,116375850,CUS11637585060,60,70000,USD,WEB PAGE,0.125
2022-09-10,316547098,CUS31654709824,24,35000,USD,WEB PAGE,0.29
2022-09-10,628935764,CUS62893576448,48,45000,USD,WEB PAGE,0.255
